cod_departamento,departamento,ipm,si_ac_fu_ag,bsp_cpi,analfabetismo,ba_ac_se_sa,sin_ale_sal,hacinamiento_critico,ina_eli_exc,inasistencia_escolar,baj_log_edu,ma_in_pa_ex,mat_ina_pis,rezago_escolar,trabajo_infantil,anio,cod_municipio,municipio,clase
"41","HUILA","35,3","33,6","2,3","14,1","5","15,1","4,5","5","4,4","65,6","2,8","10,9","19,2","2","2021","41524","PALERMO","Resto",
"41","HUILA","55,7","37,7","1,5","15","11,8","10,7","7","43,8","7,3","84,6","1,2","19,6","26,1","4,6","2021","41530","PALESTINA","Resto",
"41","HUILA","54,1","45,2","2,6","14,9","5,5","16,1","6,1","24,9","9,7","85","2,9","25,4","23,4","6,4","2021","41548","PITAL","Resto",
"41","HUILA","48,7","32,6","3,1","13,2","7","15,1","6,2","13,3","10,9","79,9","3,5","11,9","24","4,7","2021","41551","PITALITO","Resto",
"41","HUILA","33,3","17,1","1,3","12,7","4,8","14,5","6,8","3,5","5,6","65,7","1,3","12,3","18,8","2,1","2021","41615","RIVERA","Resto",
"41","HUILA","63,2","30,3","2","17,5","11","13","6,4","38,2","13,2","85,5","1","13,1","33,6","8,6","2021","41660","SALADOBLANCO","Resto",
"41","HUILA","42,7","26,2","1,8","16,2","6,6","11,3","5","17,5","8","81,8","0,8","16","21,6","4,4","2021","41668","SAN AGUSTIN","Resto",
"41","HUILA","59,3","67,6","3,5","17,1","11,5","11,9","10,3","31,9","8,9","83,1","5,5","45,8","22,2","6","2021","41676","SANTA MARIA","Resto",
"41","HUILA","47,7","44,2","2,2","13,6","1,3","10,3","4,2","34,1","8","80,7","2,5","28,2","20,5","4,1","2021","41770","SUAZA","Resto",
"41","HUILA","56,4","29,1","2","13,3","10,4","12,8","6,7","36,5","8,1","82,8","10,5","18,9","25,5","4,1","2021","41791","TARQUI","Resto",
"41","HUILA","48","33,7","1","13","18,4","14,6","7,4","12,5","4,1","76,9","1,1","13,9","21,9","2,9","2021","41797","TESALIA","Resto",
"41","HUILA","48,2","35,6","1,7","19,1","0,5","12","5,8","24","7,2","86,3","0,7","25,5","18,6","4,1","2021","41799","TELLO","Resto",
"41","HUILA","59,7","73,4","7,4","20,1","6,1","9,6","8,7","19,9","8,2","86,8","1,1","19","25,3","5,6","2021","41801","TERUEL","Resto",
"41","HUILA","50,3","18,5","0,9","15,1","10,1","12","6,3","51","6,3","79","5,2","8,9","20,4","4,1","2021","41807","TIMANA","Resto",
"41","HUILA","40,5","16,3","1,2","19,4","8,4","11,5","9,2","18,4","3","76,8","2","15,7","15,8","1,8","2021","41872","VILLAVIEJA","Resto",
"41","HUILA","37,6","56,4","2,5","25,3","1,3","17","5,5","15,8","4","78,7","2,5","9","13","2,8","2021","41885","YAGUARA","Resto",
