cod_departamento,departamento,hacinamiento,servicios,vivienda,personas_nbi,inasistencia,miseria,anio,cod_municipio,municipio,clase
"41","HUILA","3,32","4,07","8,41","19,67","1,92","4,16","2018","41020","ALGECIRAS","Total",
"41","HUILA","2,36","0,81","2,18","8,9","0,39","0,66","2018","41026","ALTAMIRA","Total",
"41","HUILA","1,3","5,11","5,44","20,18","1,19","2,89","2018","41078","BARAYA","Total",
"41","HUILA","3,17","0,88","5,82","13,57","1,1","2,16","2018","41132","CAMPOALEGRE","Total",
"41","HUILA","3,13","12,15","4,24","26,3","2,71","6,82","2018","41206","COLOMBIA","Total",
"41","HUILA","1,34","0,86","0,88","9,59","1,07","0,88","2018","41244","ELIAS","Total",
"41","HUILA","2,32","1,11","3,59","12,14","1,71","1,47","2018","41298","GARZON","Total",
"41","HUILA","2,54","1,1","3,12","13,16","1,03","1,53","2018","41306","GIGANTE","Total",
"41","HUILA","1,77","3,11","6,59","18,22","1,86","2,65","2018","41319","GUADALUPE","Total",
"41","HUILA","6,19","1,51","12,88","20,21","1,51","5,64","2018","41349","HOBO","Total",
"41","HUILA","8,07","7,59","4,62","23,85","2,53","6,26","2018","41357","IQUIRA","Total",
"41","HUILA","4,03","5,74","7,74","19,32","1,33","4,24","2018","41359","ISNOS","Total",
"41","HUILA","3,65","2,68","7,02","19,22","1,34","3,01","2018","41378","LA ARGENTINA","Total",
"41","HUILA","3,58","4,58","6,98","18,59","1,26","3,33","2018","41396","LA PLATA","Total",
"41","HUILA","7,02","5,98","4,14","17,87","1,15","3,91","2018","41483","NATAGA","Total",
"41","HUILA","5,12","0,85","1,95","18,19","1,95","1,74","2018","41503","OPORAPA","Total",
"41","HUILA","2,45","1,97","1,84","11,45","0,58","1,03","2018","41518","PAICOL","Total",
"41","HUILA","1,83","0,9","5,46","12,6","1,36","1,82","2018","41524","PALERMO","Total",
"41","HUILA","5,19","4,26","3,59","19,88","1,15","2,86","2018","41530","PALESTINA","Total",
"41","HUILA","2,18","3,73","3,64","15,42","2,11","1,73","2018","41548","PITAL","Total",
"41","HUILA","2,59","1,06","2,13","11,76","1,74","1,37","2018","41551","PITALITO","Total",
"41","HUILA","2,62","0,39","4,51","12,44","1,42","1,47","2018","41615","RIVERA","Total",
"41","HUILA","4,42","1,85","2,82","20,47","1,92","2,78","2018","41660","SALADOBLANCO","Total",
"41","HUILA","3,42","3,37","3,61","15,02","1,37","2,12","2018","41668","SAN AGUSTIN","Total",
"41","HUILA","7,59","2,93","7,9","20,9","1,5","5,1","2018","41676","SANTA MARIA","Total",
"41","HUILA","2","3,32","3,5","15,25","1,89","1,61","2018","41770","SUAZA","Total",
"41","HUILA","2,96","1,62","2,55","13,28","1,48","1,84","2018","41791","TARQUI","Total",
"41","HUILA","2,53","1,35","1,49","10,08","0,65","1,25","2018","41797","TESALIA","Total",
"41","HUILA","4,4","2,05","5,06","16,92","1,27","3,06","2018","41799","TELLO","Total",
"41","HUILA","2,24","2,98","1,07","10,8","0,67","1,59","2018","41801","TERUEL","Total",
"41","HUILA","2,28","1,33","2,2","10,54","0,99","1,34","2018","41807","TIMANA","Total",
